1, 5504 53RD AVE, 95823                   
2, 3912 WESTPORTER DR, 95826             
3, 2224 EDISON AVE, 95821                
4, 5467 BALLANTINE ST, 95826             
5, 7535 EVENT WAY, 95842                 
6, 5711 53RD AVE, 95823                  
7, 5621 DEWEY BLVD, 95824                
8, 8369 FOPPIANO WAY, 95829              
9, 4985 JACKSON ST, 95660                
10, 3980 ROSEMARY CIR, 95821              
11, 8814 SOMERSHIRE WAY, 95828            
12, 4016 E NICHOLS AVE, 95820             
13, 9092 PEBBLE FIELD WAY, 95829          
 14, 8975 GIANT PANDA DR, 95829            
 15, 9207 NORSEMAN CT, 95829               
 16, 7738 DERSINGHAM DR, 95829             
 17, 4710 ORANGE GROVE AVE, 95841          
 18, 9700 GOETHE RD, 95827                 
 19, 2624 BELPORT LN, 95821                
 20, 5022 GREENBERRY DR, 95841             
 21, 7676 WACHTEL WAY, 95662               
 22, 8368 KELLWOOD CT, 95829               
 23, 5738 MASCOT AVE, 95824                
 24, 3893 32ND AVE, 95824                  
 25, 5701 39TH ST, 95824                   
 26, 5924 MENDOCINO BLVD, 95824            
 27, 5928 MENDOCINO BLVD, 95824            
 28, 3946 48TH AVE, 95823                  
 29, 6601 44TH ST, 95823                   
 30, 2000 ERNEST WAY, 95825                
 31, 4400 25TH AVE, 95820                  
 32, 4830 MENDOCINO BLVD, 95820            
 33, 5240 MENDOCINO BLVD, 95820            
 34, 4911 50TH AVE, 95823                  
 35, 5632 53RD AVE, 95823                  
 36, 5010 53RD AVE, 95823                  
 37, 2448 VERNA WAY, 95864                 
 38, 8833 ELM AVE, 95662                   
 39, 5056 GREENBERRY DR, 95841             
 40, 4550 FOREST PKWY, 95823               
 41, 5028 CLOVER GLEN WAY, 95824           
 42, 6431 FAIR OAKS BLVD, 95608            
 43, 4703 MANZANITA AVE, 95608             
 44, 13246 ALABAMA RD, 95632               
 45, 3723 SCALLOP CT, 95660                
 46, 5002 SHELL ST, 95660                  
 47, 8524 LONGSPUR WAY, 95843              
 48, 1221 EL SUR WAY, 95864                
 49, 4131 37TH AVE, 95824                  
 50, 5600 20TH ST, 95673                   
 51, 2778 HYANNIS WAY, 95827               
 52, 3850 EXMOOR CIR, 95864                
 53, 3816 BLACKFOOT WAY, 95843             
 54, 2674 AMERICAN RIVER DR, 95864         
 55, 6617 MARKLEY WAY, 95608               
 56, 2011 EDWIN WAY, 95825                 
 57, 6401 TEMPLETON DR, 95608              
 58, 6945 22ND ST, 95673                   
 59, 3664 BOLIVAR AVE, 95660               
 60, 7001 ELLSWORTH CIR, 95628             
 61, 8228 SANDERSON CT, 95843              
 62, 7474 LA MANCHA WAY, 95823             
 63, 3859 ANNADALE LN, 95821               
 64, 8180 VISALIA WAY, 95828               
 65, 4985 JACKSON ST, 95660                
 66, 8201 BRADSHAW RD, 95829               
 67, 5307 COLLEGE OAK DR, 95841            
 68, 9612 LAKE NATOMA DR, 95662            
 69, 2746 BRADSHAW RD, 95827               
 70, 3224 MONTCLAIRE ST, 95821             
 71, 4019 RENICK WAY, 95660                
 72, 5629 WALERGA RD, 95842                
 73, 3500 WINDING CREEK RD, 95864          
 74, 5811 POMEGRANATE AVE, 95823           
 75, 6728 KENNETH AVE, 95662               
 76, 4412 BARRETT RD, 95608                
 77, 7508 WHISPERWILLOW DR, 95828          
 78, 6729 FAIR OAKS BLVD, 95608            
 79, 4400 C PKWY, 95823                    
 80, 7601 LINDALE DR, 95828                
 81, 7492 RIDGE WILLOW CT, 95828           
 82, 2552 RIO BRAVO CIR, 95826             
 83, 4400 C PKWY, 95823                    
 84, 2630 RIO BRAVO CIR, 95826             
 85, 8080 CARMENCITA AVE, 95829            
 86, 5751 ENGLE RD, 95608                  
 87, 4401 C PKWY, 95823                    
 88, 4400 C PKWY, 95823                    
 89, 5001 DATE AVE, 95841                  
 90, 8045 ROCKHURST WAY, 95828             
 91, 5844 40TH ST, 95824                   
 92, 5916 41ST ST, 95824                   
 93, 4320 35TH AVE, 95824                  
 94, 4050 MYRTLE AVE, 95660                
 95, 5947 CLOVER MANOR WAY, 95824          
 96, 5948 CLOVER MANOR WAY, 95824          
 97, 7285 PALMER HOUSE DR, 95828           
 98, 5220 CORVET WAY, 95823                
 99, 4428 SANTA MONICA AVE, 95824          
100, 4621 38TH AVE, 95824                  
101, 7904 SKANDER WAY, 95828               
102, 4300 46TH AVE, 95824                  
103, 4400 C PKWY, 95823                    
104, 7901 HARTWICK WAY, 95828              
105, 8005 SKANDER WAY, 95828               
106, 7701 EAGLE PARK DR, 95828             
107, 4200 43RD AVE, 95824                  
108, 4100 43RD AVE, 95824                  
109, 3928 40TH AVE, 95824                  
110, 5830 39TH ST, 95824                   
111, 5924 MENDOCINO BLVD, 95824            
112, 5921 MENDOCINO BLVD, 95824            
113, 7622 EASTBREEZE CIR, 95828            
114, 4900 IOWA AVE, 95824                  
115, 5836 MENDOCINO BLVD, 95824            
116, 7633 PAR PKWY, 95828                  
117, 916 STRAUGH RD, 95673                 
118, 3409 52ND AVE, 95823                  
119, 4741 39TH AVE, 95824                  
120, 7856 ORCHARD WOODS CIR, 95828         
121, 11801 WHITE ROCK RD, 95742            
122, 7504 WHISPERWILLOW DR, 95828          
123, 6940 CENTENNIAL WAY, 95842            
124, 5982 VIA CASITAS, 95608               
125, 7280 REESE RD, 95828                  
126, 6849 BLACK DUCK WAY, 95842            
127, 6907 RIO LINDA BLVD, 95673            
128, 5056 GREENBERRY DR, 95841             
129, 2554 KEY WEST WAY, 95826              
130, 6311 LA CIENEGA DR, 95660             
131, 4951 RICHWOOD CT, 95628               
132, 8457 CUTLER WAY, 95828                
133, 2738 EL CENTRO RD, 95833              
134, 5004 CLOVER GLEN WAY, 95824           
135, 5004 CLOVER GLEN WAY, 95824           
136, 5959 CLOVER MANOR WAY, 95824          
137, 5948 CLOVER MANOR WAY, 95824          
138, 3640 WINDING CREEK RD, 95864          
139, 5205 MENDOCINO BLVD, 95820            
140, 6921 W 4TH ST, 95673                  
141, 9481 CENTRAL AVE, 95662               
142, 8364 VINTAGE PARK DR, 95828           
143, 8526 VINTAGE PARK DR, 95828           
144, 8540 VINTAGE PARK DR, 95828           
145, 4813 RUNWAY DR, 95628                 
146, 2401 ROLAND RD, 95821                 
147, 1205 WATT AVE, 95864                  
148, 8300 MCNIE AVE, 95828                 
149, 8011 BUGATTI CT, 95828                
150, 7930 ORCHARD WOODS CIR, 95828         
151, 1055 E ST, 95673                      
152, 4015 44TH ST, 95820                   
153, 7901 SUNRISE GREENS DR, 95828         
154, 8158 MONTREUX WAY, 95828              
155, 8696 DAIMLER WAY, 95828               
156, 8258 WESTPORT CIR, 95828              
157, 9368 MIRA DEL RIO DR, 95827           
158, 2401 ARDEN WAY, 95825                 
159, 4801 DEL NORTE BLVD, 95820            
160, 6212 BRADSHAW RD, 95829               
161, 4000 43RD ST, 95820                   
162, 7206 WALTER AVE, 95828                
163, 7506 WHISPERWILLOW DR, 95828          
164, 1233 C ST, 95673                      
165, 7592 WATERWILLOW DR, 95828            
166, 6921 BARNUM CT, 95828                 
167, 7918 68TH AVE, 95828                  
168, 9600 STARDUST WAY, 95827              
169, 5857 ELMO DR, 95660                   
170, 7442 DELLA CIR, 95828                 
171, 7438 DELLA CIR, 95828                 
172, 7812 68TH AVE, 95828                  
173, 8687 WEYAND AVE, 95828                
174, 8598 GERMAN DR, 95828                 
175, 7301 JENNA WAY, 95828                 
176, 4037 42ND ST, 95820                   
177, 8561 ELAINE DR, 95828                 
178, 7304 FLETCHER FARM DR, 95828          
179, 8740 TIOGAWOODS DR, 95828             
180, 7693 ROOSTERFISH WAY, 95828           
181, 7621 EASTBREEZE CIR, 95828            
182, 7783 NEYLAND WAY, 95829               
183, 6533 LANG AVE, 95823                  
184, 6203 STACY AVE, 95823                 
185, 7505 STEAMER WAY, 95823               
186, 6636 WIRE DR, 95823                   
187, 6201 HEDGE AVE, 95829                 
188, 7275 E SOUTHGATE DR, 95823            
189, 5000 FRUITRIDGE RD, 95820             
190, 8200 ROCKBURY WAY, 95843              
191, 7651 PAR PKWY, 95828                  
192, 7701 EAGLE PARK DR, 95828             
193, 8140 STEINBECK WAY, 95828             
194, 8329 HAYFIELD CIR, 95828              
195, 7690 DARLA WAY, 95828                 
196, 8245 HOMEFIELD WAY, 95828             
197, 8329 MAPLE TRAILS WAY, 95828          
198, 3832 FABERGE WAY, 95826               
199, 6171 RUTLAND DR, 95608                
200, 4719 ROOSEVELT AVE, 95820             
201, 3490 SIERRA VIEW LN, 95821            
202, 8973 NAPA VALLEY WAY, 95829           
203, 7024 FRONT ST, 95673                  
204, 7404 WALTER AVE, 95828                
205, 4909 37TH AVE, 95824                  
206, 10151 FLORIN RD, 95829                
207, 5033 CLOVER GLEN WAY, 95824           
208, 7605 ZEPHYR HILLS WAY, 95843          
209, 2346 CABO WAY, 95670                  
210, 2550 BELPORT LN, 95821                
211, 7637 SULLIVAN DR, 95843               
212, 9063 MONTOYA ST,Unit 4, 95826         
213, 2624 BELPORT LN, 95821                
214, 6212 BRADSHAW RD, 95829               
215, 5171 DEL NORTE BLVD, 95820            
216, 4033 BEAVER CREEK CT, 95843           
217, 2129 CARLOTTA DR, 95825               
218, 3601 TOLENAS CT, 95864                
219, 4987 TUFTS ST, 95841                  
220, 4037 43RD ST, 95820                   
221, 6636 WIRE DR, 95823                   
222, 6309 BELVA WAY, 95660                 
223, 7701 EAGLE PARK DR, 95828             
224, 7067 FORMAN WAY, 95828                
225, 8824 SAWTELLE WAY,Unit A, 95826       
226, 1065 CLINTON RD, 95825                
227, 5957 CASA ALEGRE, 95608               
228, 9165 THILOW DR, 95826                 
229, 8620 COOLWOODS WAY, 95828             
230, 8782 INISHEER WAY, 95828              
231, 12584 WHITE ROCK RD, 95742            
232, 8633 SHADOW CREST CIR, 95843          
233, 8166 DERBYSHIRE CIR, 95828            
234, 8259 DERBYSHIRE CIR, 95828            
235, 8267 WESTPORT CIR, 95828              
236, 10571 COLONY RD, 95693                
237, 7601 LOUCRETA DR, 95828               
238, 7809 LOUCRETA DR, 95828               
239, 7752 RUDYARD CIR, 95843               
240, 5028 TACOMIC DR, 95842                
241, 6017 41ST ST, 95824                   
242, 6633 42ND ST, 95823                   
243, 6505 WESLEY AVE, 95823                
244, 6108 LAURINE WAY, 95824               
245, 4316 41ST AVE, 95824                  
246, 8901 MONTOYA ST, 95826                
247, 6017 41ST ST, 95824                   
248, 4310 SOLEDAD AVE, 95820               
249, 4430 SOLEDAD AVE, 95820               
250, 4616 PARKER AVE, 95820                
251, 4507 ROOSEVELT AVE, 95820             
252, 5290 MENDOCINO BLVD, 95820            
253, 5370 MENDOCINO BLVD, 95820            
254, 6144 MARTIN LUTHER KING JR BLVD, 95824
255, 7701 PALMA PKWY, 95823                
256, 7320 SAHARA CT, 95828                 
257, 7252 DEL PRADO WAY, 95828             
258, 7434 BRUNO WAY, 95828                 
259, 7342 BRUNO WAY, 95828                 
260, 7206 WALTER AVE, 95828                
261, 7506 WHISPERWILLOW DR, 95828          
262, 7969 SAMANTHA WAY, 95828              
263, 7434 DELLA CIR, 95828                 
264, 7422 DELLA CIR, 95828                 
265, 7418 DELLA CIR, 95828                 
266, 7812 68TH AVE, 95828                  
267, 7708 MCMULLEN WAY, 95828              
268, 7617 MCMULLEN WAY, 95828              
269, 7612 MCMULLEN WAY, 95828              
270, 7529 CLEMENT CIR, 95828               
271, 8354 MIDDLE RIVER CT, 95828           
272, 8538 BIRCH HOLLOW WAY, 95828          
273, 8569 ELAINE DR, 95828                 
274, 7301 JENNA WAY, 95828                 
275, 8532 ALEKSANDER CT, 95828             
276, 8548 ALEKSANDER CT, 95828             
277, 7645 PINE VALLEY DR, 95828            
278, 7732 VALLEY WOOD DR, 95828            
279, 8752 CRYSTAL RIVER WAY, 95828         
280, 8763 SUNNY BREEZE WAY, 95828          
281, 7490 CASTLEDOWN WAY, 95829            
282, 6530 W 6TH ST, 95673                  
283, 4247 OBERON AVE, 95660                
284, 2550 BELPORT LN, 95821                
285, 5411 HAMILTON ST, 95842               
286, 6305 CASCADE WAY, 95823               
287, 6018 DEWEY BLVD, 95824                
288, 5241 38TH AVE, 95824                  
289, 5911 KELLY WAY, 95824                 
290, 4631 IOWA AVE, 95824                  
291, 4520 39TH AVE, 95824                  
292, 6112 LEOLA WAY, 95824                 
293, 7201 WILLOW WIND CT, 95828            
294, 6108 LEOLA WAY, 95824                 
295, 4104 41ST AVE, 95824                  
296, 5931 MASCOT AVE, 95824                
297, 5900 39TH ST, 95824                   
298, 4200 35TH AVE, 95824                  
299, 5905 GARIBALDI ST, 95824              
300, 4007 41ST AVE, 95824                  
301, 3721 41ST AVE, 95824                  
302, 5212 GALAXY PKWY, 95823               
303, 6248 37TH ST, 95824                   
304, 3836 43RD AVE, 95824                  
305, 5280 38TH AVE, 95824                  
306, 5251 38TH AVE, 95824                  
307, 5950 DEWEY BLVD, 95824                
308, 5725 44TH ST, 95824                   
309, 4433 37TH AVE, 95824                  
310, 6129 BURNS WAY, 95824                 
311, 6232 43RD ST, 95824                   
312, 4201 43RD AVE, 95824                  
313, 3804 42ND AVE, 95824                  
314, 4053 CUNY AVE, 95823                  
315, 4324 GREENWICH CIR, 95823             
316, 4007 GREEN TREE DR, 95823             
317, 6909 SOUTHAMPTON WAY, 95823           
318, 7037 ASTRON PKWY, 95823               
319, 7123 5TH PKWY, 95823                  
320, 8627 NASH WAY, 95828                  
321, 8261 TEVRIN WAY, 95828                
322, 8091 DARIEN CIR, 95828                
323, 8120 HELMSDALE DR, 95828              
324, 8022 BUGATTI CT, 95828                
325, 8011 DELAGE WAY, 95828                
326, 8762 LEMAS RD, 95828                  
327, 7651 PAR PKWY, 95828                  
328, 2790 NORTHROP AVE, 95864              
329, 8222 HOME COUNTRY WAY, 95828          
330, 8404 BERNARDO CT, 95828               
331, 8477 CASABLANCA WAY, 95828            
332, 7939 ORCHARD WOODS CIR, 95828         
333, 8374 BLOOMINGTON DR, 95828            
334, 8490 CASABLANCA WAY, 95828            
335, 7701 EAGLE PARK DR, 95828             
336, 8102 WALNUT HILLS WAY, 95628          
337, 6424 ALMOND AVE, 95662                
338, 9466 ROGERS RD, 95829                 
339, 5161 KARM WAY, 95842                  
340, 5155 KARM WAY, 95842                  
341, 5125 KARM WAY, 95842                  
342, 6903 CENTENNIAL WAY, 95842            
343, 7721 TEMWOODS WAY, 95828              
344, 3431 CLEMENS WAY, 95864               
345, 3431 CLEMENS WAY, 95864               
346, 2790 NORTHROP AVE, 95864              
347, 9138 LUCCHESI DR, 95829               
348, 4825 HAZEL AVE, 95628                 
349, 4923 SCHUYLER DR, 95608               
350, 2300 EDISON AVE, 95821                
351, 9000 ALDER AVE, 95829                 
352, 5321 SOUTHWEST AVE, 95824             
353, 8102 WALNUT HILLS WAY, 95628          
354, 1221 C ST, 95673                      
355, 8118 GREENBACK LN, 95628              
356, 5922 ROSEVILLE RD, 95842              
357, 4040 MANZANITA AVE, 95608             
358, 9079 GREENBACK LN, 95662              
359, 2543 FULTON AVE, 95821                
360, 8753 BARRACUDA WAY, 95826             
361, 1053 CLINTON RD, 95825                
362, 8080 CARMENCITA AVE, 95829            
363, 4021 WINONA WAY, 95660                
364, 4021 WINONA WAY, 95660                
365, 9466 ROGERS RD, 95829                 
366, 6200 WALERGA RD, 95660                
367, 7732 GYAN WAY, 95828                  
368, 12838 PELLANDINI RD, 95632            
369, 7239 CARMI ST, 95828                  
370, 7434 BRUNO WAY, 95828                 
371, 7424 FLEMING AVE, 95828               
372, 8225 TIMBER COVE WAY, 95828           
373, 8896 LISCARNEY WAY, 95828             
374, 8871 INISHEER WAY, 95828              
375, 8006 BUGATTI CT, 95828                
376, 7245 FLETCHER FARM DR, 95828          
377, 8011 BUGATTI CT, 95828                
378, 8017 DELAGE WAY, 95828                
379, 8866 LEMAS RD, 95828                  
380, 8809 LEMAS RD, 95828                  
381, 8884 SONOMA VALLEY WAY, 95829         
382, 8962 NAPA VALLEY WAY, 95829           
383, 9025 NAPA VALLEY WAY, 95829           
384, 8947 GIANT PANDA DR, 95829            
385, 7925 FINCASTLE CT, 95829              
386, 9062 MIRASSOU CT, 95829               
387, 8172 SILVERLEAF WAY, 95829            
388, 8983 GARNET PEAK WAY, 95829           
389, 8937 BOULDER GLEN WAY, 95829          
390, 9937 DIAMONTE WAY, 95829              
391, 9951 FIRSTONE DR, 95829               
392, 9967 JACINTH PL, 95829                
393, 8233 GRAPE WOOD CT, 95829             
394, 8229 COWDRAY CT, 95829                
395, 4210 W ELKHORN BLVD, 95835            
396, 2224 EDISON AVE, 95821                
397, 8050 STALLION WAY, 95830              
398, 5900 CLOVER MANOR WAY, 95824          
399, 5201 37TH AVE, 95824                  
400, 5321 37TH AVE, 95824                  
401, 6132 BURNS WAY, 95824                 
402, 5700 48TH AVE, 95823                  
403, 6600 BURDETT WAY, 95823               
404, 5995 SAMPSON BLVD, 95824              
405, 12530 LEE SCHOOL RD, 95693            
406, 8101 GREENBACK LN, 95628              
407, 7590 WATERWILLOW DR, 95828            
408, 7301 JENNA WAY, 95828                 
409, 8183 SCOTTSDALE DR, 95828             
410, 4549 LIPPI PKWY, 95823                
411, 7316 EAST PKWY, 95823                 
412, 4754 A PKWY, 95823                    
413, 4616 A PKWY, 95823                    
414, 7050 KNOX RD, 95829                   
415, 6001 40TH ST, 95824                   
416, 5921 KELLY WAY, 95824                 
417, 5633 49TH ST, 95824                   
418, 3920 40TH AVE, 95824                  
419, 5897 SAMPSON BLVD, 95824              
420, 4431 40TH AVE, 95824                  
421, 6232 44TH ST, 95824                   
422, 3615 45TH AVE, 95824                  
423, 3700 45TH AVE, 95824                  
424, 5823 39TH ST, 95824                   
425, 3800 44TH AVE, 95824                  
426, 7865 SUNRISE MIST WAY, 95828          
427, 3540 42ND AVE, 95824                  
428, 5813 NONA WAY, 95824                  
429, 5744 39TH ST, 95824                   
430, 6602 WESLEY AVE, 95823                
431, 6937 5TH PKWY, 95823                  
432, 5051 SKY PKWY, 95823                  
433, 3896 EXMOOR CIR, 95864                
434, 6818 CHEVY CHASE WAY, 95823           
435, 7560 COTTONTREE WAY, 95828            
436, 4351 TURNBRIDGE DR, 95823             
437, 7518 FLAMINGO WAY, 95828              
438, 7253 CARMI ST, 95828                  
439, 7666 PAR PKWY, 95828                  
440, 7622 BOGEY CT, 95828                  
441, 8540 BELLAMY WAY, 95828               
442, 4541 GREEN TREE DR, 95823             
443, 4530 NORTH AVE, 95821                 
444, 7702 EAGLE PARK DR, 95828             
445, 4570 ORINDA WAY, 95820                
446, 7814 LOUCRETA DR, 95828               
447, 2811 HERBERT WAY, 95821               
448, 3160 JERSEY WAY, 95821                
449, 3160 JERSEY WAY, 95821                
450, 2300 GRANITE WAY, 95821               
451, 7644 HARMONY OAKS WAY, 95828          
452, 5957 CASA ALEGRE, 95608               
453, 11565 MARISSA WAY, 95670              
