"","CASE_NBR","CREATED","CLOSED","STATUS","TYPE","DESCRIPTION","address","LAT","LON"
"1",31396420,"1/3/2016 1:31:18 PM","","Open","Traffic Sign Complaints","Street Light Complaints","3229 DEODAR ST, Sacramento, CA, 95608",38.623268,-121.31855
"2",31396612,"1/4/2016 8:21:28 AM","","Open","Illegal Dumping","Illegal dumping - 101807","4047 43RD ST, Sacramento, CA, 95820",38.537672,-121.456444
"3",31396828,"1/4/2016 10:02:50 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","5845 SHENANDOAH DR, Sacramento, CA, 95841",38.672582,-121.339538
"4",31398791,"1/5/2016 8:57:31 PM","","Open","Traffic Sign Complaints","Street Light Complaints","5948 CLOVER MANOR WAY, Sacramento, CA, 95824",38.517697,-121.44661
"5",31399663,"1/6/2016 5:06:25 PM","","Open","Pavement","Ditches/Culverts","11111 SIMMERHORN RD, Sacramento, CA, 95632",38.332964,-121.262945
"6",31400674,"1/7/2016 4:20:49 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3301 BLACK EAGLE DR, Sacramento, CA, 95843",38.723751,-121.387309
"7",31401872,"1/10/2016 6:40:02 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3301 BLACK EAGLE DR, Sacramento, CA, 95843",38.723751,-121.387309
"8",31401998,"1/11/2016 8:09:22 AM","","Open","Tree","Tree - 102967","3410 CLUB LN, Sacramento, CA, 95821",38.626232,-121.385174
"9",31401999,"1/11/2016 8:09:23 AM","","Open","Tree","Tree - 102966","3205 POPE AVE, Sacramento, CA, 95821",38.625111,-121.389327
"10",31402000,"1/11/2016 8:09:23 AM","","Open","Illegal Dumping","Illegal dumping - 102972","2912 WATT AVE, Sacramento, CA, 95821",38.618044,-121.382952
"11",31403696,"1/12/2016 1:44:53 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3625 EAGLE CREST CIR, Sacramento, CA, 95843",38.72192,-121.379555
"12",31404125,"1/13/2016 9:01:23 AM","","Open","Illegal Dumping","Zoning","7423 FAIR OAKS BLVD,Unit 8, Sacramento, CA, 95608",38.636026,-121.328109
"13",31405084,"1/14/2016 8:19:23 AM","","Open","Pavement","Ditches/Culverts","5630 FRONTIER WAY, Sacramento, CA, 95608",38.608368,-121.333529
"14",31406176,"1/15/2016 10:18:52 AM","","Open","Pavement","Pothole Sidewalk Complaints","5936 CLOVER MANOR WAY, Sacramento, CA, 95824",38.518086,-121.446546
"15",31406246,"1/15/2016 10:53:59 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8936 CANBERRA DR, Sacramento, CA, 95826",38.5426,-121.371026
"16",31406510,"1/15/2016 2:00:35 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 103936","5101 VISTA SIERRA DR, Sacramento, CA, 95843",38.519878,-121.465096
"17",31407091,"1/17/2016 2:10:36 PM","","Open","Illegal Dumping","Illegal dumping - 104191","5952 MENDOCINO BLVD, Sacramento, CA, 95824",38.518645,-121.46189
"18",31407492,"1/18/2016 1:10:34 PM","","Open","Tree","Tree - 104308","3201 MOUNTAIN VIEW AVE, Sacramento, CA, 95821",38.622989,-121.393746
"19",31407969,"1/19/2016 10:11:22 AM","","Open","Abandoned Vehicles","Abandoned Vehicle - 104452","5086 SHELL ST, Sacramento, CA, 95660",38.659879,-121.375824
"20",31408121,"1/19/2016 11:12:42 AM","","Open","Tree","Tree Complaints","7848 GULL WAY, Sacramento, CA, 95843",38.711084,-121.391516
"21",31408455,"1/19/2016 2:03:32 PM","","Open","Pavement","Pavement","5409 BRANINBURG CT, Sacramento, CA, 95608",38.615101,-121.338643
"22",31408565,"1/19/2016 3:02:23 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 104496","7005 SPRIG DR, Sacramento, CA, 95842",38.694689,-121.357348
"23",31408940,"1/20/2016 7:10:59 AM","","Open","Traffic Sign Complaints","Street Light Complaints","9252 CALDERA WAY, Sacramento, CA, 95826",38.558115,-121.355433
"24",31409430,"1/20/2016 12:36:36 PM","","Open","Tree","Tree Complaints","6590 FLORIN RD, Sacramento, CA, 95828",38.495944,-121.427183
"25",31410540,"1/21/2016 1:37:30 PM","","Open","Pavement","Pavement","8642 BRIARBROOK CIR, Sacramento, CA, 95662",38.695969,-121.24269
"26",31410886,"1/21/2016 5:20:36 PM","","Open","Illegal Dumping","JUNK AND RUBBISH","8701 GREENBACK LN, Sacramento, CA, 95662",38.678554,-121.235015
"27",31411215,"1/22/2016 10:36:56 AM","","Open","Tree","Tree Complaints","4140 ERNESTINE WAY, Sacramento, CA, 95660",38.680412,-121.367078
"28",31411643,"1/22/2016 3:36:55 PM","","Open","Traffic Sign Complaints","Street Light Complaints","3801 43RD AVE, Sacramento, CA, 95824",38.513903,-121.465219
"29",31412011,"1/24/2016 1:11:32 AM","","Open","Graffiti","Graffiti - 105344","2310 WYDA WAY, Sacramento, CA, 95825",38.599973,-121.410062
"30",31412130,"1/24/2016 8:31:24 PM","","Open","Illegal Dumping","Illegal dumping - 105477","5826 POMEGRANATE AVE, Sacramento, CA, 95823",38.484222,-121.435879
"31",31412264,"1/25/2016 9:01:22 AM","","Open","Abandoned Vehicles","Abandoned Vehicle - 105556","4512 MARBLE WAY, Sacramento, CA, 95608",38.64437,-121.321814
"32",31412730,"1/25/2016 1:30:31 PM","","Open","Pavement","Pothole Sidewalk Complaints","7314 ELSIE AVE, Sacramento, CA, 95823",38.474339,-121.418969
"33",31412792,"1/25/2016 2:01:17 PM","","Open","Traffic Sign Complaints","Street lighting - 105617","8660 HILLMON CT, Sacramento, CA, 95828",38.492244,-121.384421
"34",31412855,"1/25/2016 2:41:24 PM","","Open","Illegal Dumping","Illegal dumping - 105628","6509 WESLEY AVE, Sacramento, CA, 95823",38.507659,-121.460963
"35",31412976,"1/25/2016 3:51:19 PM","","Open","Illegal Dumping","Illegal dumping - 105652","7609 WOODGLEN DR, Sacramento, CA, 95628",38.643437,-121.268207
"36",31413791,"1/26/2016 1:31:27 PM","","Open","Traffic Sign Complaints","Street Light Complaints","5000 TAMARISK CT, Sacramento, CA, 95842",38.683121,-121.3472
"37",31414287,"1/27/2016 8:28:49 AM","","Open","Traffic Sign Complaints","Street Light Complaints","3367 LERWICK RD, Sacramento, CA, 95821",38.633803,-121.386517
"38",31414521,"1/27/2016 11:01:11 AM","","Open","Graffiti","Graffiti Private Property","4900 ROSEVILLE RD, Sacramento, CA, 95660",38.655069,-121.386993
"39",31414535,"1/27/2016 11:09:58 AM","","Open","Stray Animals","Stray Animal","7405 WINDING WAY, Sacramento, CA, 95628",38.643437,-121.268207
"40",31414801,"1/27/2016 2:02:49 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","5925 RAMPART DR, Sacramento, CA, 95608",38.647887,-121.325082
