"CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE"
"31395927","1/1/2016 12:40:52 AM","1/1/2016 7:58:33 AM","Closed","Open311","Remote Device","Other","Other - 101476","7575 POWER INN RD,Unit 1, 95828","95828"
"31395929","1/1/2016 1:27:09 AM","1/1/2016 11:30:03 AM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of BORDEN RD and IVIE RD, 95638","95638"
"31395930","1/1/2016 1:54:09 AM","1/1/2016 11:30:03 AM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of WALMORT RD and COLONY RD, 95693","95693"
"31395938","1/1/2016 5:59:04 AM","1/4/2016 7:02:28 AM","Closed","311 Service Request","Water Resources","Incoming Email","","6816 SPRINGRIDGE WAY,ELK GROVE,CA 95758","95758"
"31395942","1/1/2016 7:07:39 AM","1/1/2016 12:30:12 PM","Closed","311 Service Request","Animal Care","Animal Care - Assist","Animal Care - Assist","3839 BRADSHAW RD, 95827","95827"
"31395946","1/1/2016 7:39:07 AM","1/1/2016 9:30:11 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","7711 JUAN WAY,Unit 18A, 95628","95628"
"31395947","1/1/2016 7:52:05 AM","1/1/2016 9:30:11 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3669 DOS PALOS LN, 95660","95660"
"31395951","1/1/2016 8:26:29 AM","1/1/2016 8:29:18 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","7749 SOUTHLAND WAY, 95828","95828"
"31395952","1/1/2016 8:26:38 AM","1/1/2016 8:29:18 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","7749 SOUTHLAND WAY, 95828","95828"
"31395953","1/1/2016 8:31:43 AM","1/13/2016 2:55:02 PM","Closed","311 Service Request","Transportation","Traffic Sign Complaints","Traffic Sign Complaints","INTERSECTION of RIMROCK DR and FLORIN RD, 95828","95828"
"31395960","1/1/2016 8:59:57 AM","1/1/2016 9:00:46 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","2125 ARDEN WAY, 95825","95825"
"31395961","1/1/2016 9:01:10 AM","1/3/2016 2:30:02 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","2125 ARDEN WAY, 95825","95825"
"31395963","1/1/2016 9:09:18 AM","1/1/2016 11:30:12 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","930 LOS MOLINOS WAY, 95864","95864"
"31395965","1/1/2016 9:21:06 AM","1/1/2016 9:29:20 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","7006 KINNEY ST, 95662","95662"
"31395969","1/1/2016 9:36:09 AM","2/9/2016 1:30:09 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","4265 EAGLE RIDGE WAY, 95843","95843"
"31395971","1/1/2016 9:37:09 AM","1/7/2016 8:55:56 AM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","11211 GOLD COUNTRY BLVD, 95670","95670"
"31395974","1/1/2016 9:52:19 AM","1/1/2016 10:30:12 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3929 CONTINENTAL WAY, 95608","95608"
"31395976","1/1/2016 10:06:02 AM","1/1/2016 10:09:26 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","4701 ROBERTSON AVE, 95608","95608"
"31395978","1/1/2016 10:14:08 AM","1/1/2016 5:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of DRY CREEK RD and ELKHORN BLVD, 95673","95673"
"31395979","1/1/2016 10:15:56 AM","1/1/2016 10:19:19 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","9482 HANBURY WAY, 95829","95829"
"31395984","1/1/2016 10:28:21 AM","1/1/2016 10:29:23 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","3105 CURRY CT, 95821","95821"
"31395995","1/1/2016 10:56:02 AM","1/1/2016 12:30:10 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","8755 CENTRAL AVE, 95662","95662"
"31395996","1/1/2016 10:58:01 AM","2/9/2016 2:30:10 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3810 ELKHORN BLVD, 95660","95660"
"31396000","1/1/2016 11:12:39 AM","1/1/2016 12:30:12 PM","Closed","311 Service Request","Animal Care","Animal Care - Assist","Animal Care - Assist","INTERSECTION of 44TH AVE and LAURINE WAY, 95824","95824"
"31396003","1/1/2016 11:18:35 AM","1/6/2016 7:35:30 AM","Closed","311 Service Request","Building Permits and Inspection","Building Permits and Inspection Complaints","Building Permits and Inspection Complaints","7425 W 4TH ST, 95673","95673"
"31396005","1/1/2016 11:20:52 AM","1/21/2016 11:45:53 AM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","6430 VERNER AVE, 95841","95841"
"31396006","1/1/2016 11:22:16 AM","1/30/2016 12:20:21 AM","Closed","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","5616 53RD AVE, 95823","95823"
"31396010","1/1/2016 11:29:47 AM","1/5/2016 7:11:29 AM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","5504 53RD AVE, 95823","95823"
"31396012","1/1/2016 11:35:23 AM","1/1/2016 1:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","5001 DEWEY DR, 95628","95628"
"31396016","1/1/2016 11:44:48 AM","1/1/2016 12:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of HAZEL AVE and GREENBACK LN, 95662","95662"
"31396017","1/1/2016 11:46:44 AM","1/5/2016 7:30:06 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","2709 WALNUT AVE, 95608","95608"
"31396018","1/1/2016 11:47:12 AM","1/13/2016 11:30:12 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","6167 66TH AVE, 95823","95823"
"31396019","1/1/2016 11:47:23 AM","1/1/2016 11:49:34 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","2801 TIOGA WAY, 95821","95821"
"31396020","1/1/2016 11:49:05 AM","1/3/2016 11:30:03 AM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of RUSKUT WAY and GREEN TREE DR, 95823","95823"
"31396021","1/1/2016 11:49:27 AM","1/1/2016 1:30:12 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","4231 NATOMA AVE, 95628","95628"
"31396022","1/1/2016 11:50:39 AM","1/6/2016 11:54:04 AM","Closed","Open311","Remote Device","Road traffic sign","Road traffic sign - 101508","6600 KENNETH AVE, 95662","95662"
"31396025","1/1/2016 12:02:38 PM","1/1/2016 2:30:10 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","5520 HARRISON ST,Unit 69, 95660","95660"
"31396026","1/1/2016 12:03:12 PM","1/1/2016 12:09:35 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","6540 LANDIS AVE, 95608","95608"
"31396028","1/1/2016 12:06:08 PM","1/1/2016 4:38:26 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","5907 HIMALAYA WAY, 95621","95621"
"31396036","1/1/2016 12:24:56 PM","1/1/2016 1:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","11793 BORDEN RD, 95638","95638"
"31396037","1/1/2016 12:25:01 PM","1/1/2016 2:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of EASTERN AVE and FAIR OAKS BLVD, 95864","95864"
"31396038","1/1/2016 12:25:15 PM","1/1/2016 12:29:36 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","6930 SILVERTHORNE CIR, 95842","95842"
"31396039","1/1/2016 12:31:36 PM","1/1/2016 1:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of EASTERN AVE and EL SUR WAY, 95864","95864"
"31396041","1/1/2016 12:37:03 PM","1/1/2016 3:30:13 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","9034 CUSTOM CT, 95826","95826"
