"","CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE","address","LAT","LON"
"1",31396046,"1/1/2016 12:43:03 PM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","7865 SUNRISE MIST WAY, Sacramento, CA",95828,"7865 SUNRISE MIST WAY, Sacramento, CA, 95828",38.471888,-121.398979
"2",31396161,"1/1/2016 4:30:33 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 101548","8100 OAHU DR, Sacramento, CA",95628,"8100 OAHU DR, Sacramento, CA, 95628",38.661038,-121.262131
"4",31396270,"1/2/2016 9:43:36 AM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","6301 CLAUSSEN WAY, Sacramento, CA",95660,"6301 CLAUSSEN WAY, Sacramento, CA, 95660",38.681443,-121.374271
"5",31396286,"1/2/2016 12:11:09 PM","","Open","311 Service Request","Code - Zoning","Private Property - Animals","Private Property - Animal","7540 DELTA POINTE WAY, Sacramento, CA",95823,"7540 DELTA POINTE WAY, Sacramento, CA, 95823",38.4841,-121.432273
"6",31396301,"1/2/2016 2:00:39 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 101647","5685 SAMPSON BLVD, Sacramento, CA",95824,"5685 SAMPSON BLVD, Sacramento, CA, 95824",38.522402,-121.449537
"7",31396402,"1/3/2016 10:55:38 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","6633 CHERRY LN, Sacramento, CA",95673,"6633 CHERRY LN, Sacramento, CA, 95673",38.687388,-121.443875
"8",31396405,"1/3/2016 11:38:25 AM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","6427 DALLAS WAY, Sacramento, CA",95823,"6427 DALLAS WAY, Sacramento, CA, 95823",38.508529,-121.437206
"9",31396419,"1/3/2016 1:25:15 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","5301 VALPARAISO CIR, Sacramento, CA",95841,"5301 VALPARAISO CIR, Sacramento, CA, 95841",38.678339,-121.339986
"10",31396420,"1/3/2016 1:31:18 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","3229 DEODAR ST, Sacramento, CA",95608,"3229 DEODAR ST, Sacramento, CA, 95608",38.623268,-121.31855
"11",31396484,"1/3/2016 5:11:33 PM","","Open","Open311","Remote Device","Other","Other - 101755","4043 EDISON AVE, Sacramento, CA",95821,"4043 EDISON AVE, Sacramento, CA, 95821",38.634247,-121.370274
